id etudiant;reussite;note de smestre1;heures-etudie;absences;age;score_total
S0056;;18;2;11;17;15.8
S0057;;2;4;21;17;-2.2
S0058;;4;1;16;20;0.7999999999999998
S0059;;1;4;15;18;-2.0
S0060;;7;1;15;20;4.0
S0061;;8;4;13;18;5.4
S0062;;6;2;13;19;3.4
S0063;;16;4;10;20;14.0
S0064;;7;2;14;17;4.199999999999999
S0065;;6;3;17;17;2.5999999999999996
S0066;;11;1;10;16;9.0
S0067;;3;1;17;17;-0.40000000000000036
S0068;;16;4;8;20;14.4
S0069;;2;4;20;16;-2.0
S0070;;19;4;4;20;18.2
S0071;;15;3;4;16;14.2
S0072;;5;4;19;16;1.1999999999999997
S0073;;1;1;20;20;-3.0
S0074;;16;2;8;19;14.4
S0075;;13;2;8;20;11.4
S0076;;15;3;11;19;12.8
S0077;;15;2;16;16;11.8
S0078;;2;1;15;16;-1.0
S0079;;7;3;13;17;4.4
S0080;;2;4;22;17;-2.4000000000000004
S0081;;17;2;9;17;15.2
S0082;;12;1;7;20;10.6
S0083;;7;1;11;18;4.8
S0084;;1;1;16;17;-2.2
S0085;;6;2;16;16;2.8
S0086;;6;3;15;16;3.0
S0087;;15;3;10;17;13.0
S0088;;13;3;8;16;11.4
S0089;;17;2;9;16;15.2
S0090;;10;4;15;19;7.0
S0091;;3;1;15;18;0.0
S0092;;14;2;10;20;12.0
S0093;;15;4;6;20;13.8
S0094;;11;1;13;18;8.4
S0095;;15;1;9;16;13.2
S0096;;9;4;15;17;6.0
S0097;;10;2;12;17;7.6
S0098;;9;3;17;16;5.6
S0099;;1;1;20;20;-3.0
S0100;;2;3;22;16;-2.4000000000000004
S0101;;1;2;17;16;-2.4000000000000004
S0102;;12;1;9;17;10.2
S0103;;6;3;20;17;2.0
S0104;;10;1;9;17;8.2
S0105;;18;2;1;17;17.8
S0106;;5;1;16;19;1.7999999999999998
S0107;;9;1;15;18;6.0
S0108;;15;2;2;19;14.6
S0109;;5;1;20;16;1.0
S0110;;2;4;18;16;-1.6
S0111;;5;1;15;20;2.0
S0112;;3;2;14;17;0.19999999999999973
S0113;;18;1;6;19;16.8
S0114;;17;2;10;19;15.0
S0115;;12;4;13;18;9.4
S0116;;17;1;8;16;15.4
S0117;;16;4;11;19;13.8
S0118;;4;1;17;16;0.5999999999999996
S0119;;18;3;9;19;16.2
S0120;;11;3;16;19;7.8
S0121;;16;4;5;20;15.0
S0122;;17;3;8;17;15.4
S0123;;7;3;18;20;3.4
S0124;;2;1;18;18;-1.6
S0125;;5;1;16;17;1.7999999999999998
S0126;;9;4;18;18;5.4
S0127;;16;2;7;17;14.6
S0128;;17;2;10;17;15.0
S0129;;1;4;15;18;-2.0
S0130;;10;2;11;18;7.8
S0131;;8;4;15;16;5.0
S0132;;5;3;18;18;1.4
S0133;;2;3;18;20;-1.6
S0134;;7;4;13;16;4.4
S0135;;18;1;7;17;16.6
S0136;;7;2;16;18;3.8
S0137;;10;2;12;17;7.6
S0138;;14;1;11;17;11.8
S0139;;8;3;15;18;5.0
S0140;;19;4;11;17;16.8
S0141;;19;2;4;19;18.2
S0142;;6;2;15;16;3.0
S0143;;9;4;15;18;6.0
S0144;;6;2;11;20;3.8
S0145;;6;2;15;20;3.0
S0146;;1;2;22;17;-3.4000000000000004
S0147;;12;4;9;19;10.2
S0148;;10;3;12;19;7.6
S0149;;2;4;18;19;-1.6
S0150;;6;4;17;19;2.5999999999999996
S0151;;18;2;6;19;16.8
S0152;;5;2;17;16;1.5999999999999996
S0153;;3;4;16;16;-0.20000000000000018
S0154;;10;2;18;17;6.4
S0155;;19;4;7;17;17.6
S0156;;5;4;12;16;2.5999999999999996
S0157;;14;3;12;20;11.6
S0158;;15;3;11;20;12.8
S0159;;5;4;17;20;1.5999999999999996
S0160;;15;4;13;18;12.4
S0161;;7;2;20;16;3.0
S0162;;13;1;11;17;10.8
S0163;;13;2;10;18;11.0
S0164;;10;3;12;20;7.6
S0165;;2;2;19;17;-1.8000000000000003
S0166;;16;3;8;18;14.4
S0167;;7;2;13;18;4.4
S0168;;5;3;17;16;1.5999999999999996
S0169;;1;1;20;16;-3.0
S0170;;11;3;12;16;8.6
S0171;;13;3;9;16;11.2
S0172;;1;1;16;16;-2.2
S0173;;10;2;14;16;7.199999999999999
S0174;;5;3;16;17;1.7999999999999998
S0175;;13;2;10;17;11.0
S0176;;4;1;20;17;0.0
S0177;;14;4;10;20;12.0
S0178;;8;3;18;19;4.4
S0179;;18;4;11;16;15.8
S0180;;4;2;17;20;0.5999999999999996
S0181;;7;2;16;20;3.8
S0182;;2;4;17;20;-1.4000000000000004
S0183;;18;3;7;16;16.6
S0184;;17;3;10;16;15.0
S0185;;5;2;16;16;1.7999999999999998
S0186;;13;2;14;16;10.2
S0187;;16;1;5;16;15.0
S0188;;11;1;15;18;8.0
S0189;;10;1;13;17;7.4
S0190;;5;1;19;19;1.1999999999999997
S0191;;2;4;17;18;-1.4000000000000004
S0192;;18;1;8;18;16.4
S0193;;18;3;8;16;16.4
S0194;;12;4;9;19;10.2
S0195;;7;3;15;18;4.0
S0196;;7;1;13;17;4.4
S0197;;14;3;12;18;11.6
S0198;;18;3;11;18;15.8
S0199;;17;3;7;20;15.6
S0200;;15;4;10;19;13.0
S0201;;13;4;9;19;11.2
S0202;;2;3;19;18;-1.8000000000000003
S0203;;4;2;17;17;0.5999999999999996
S0204;;18;3;11;16;15.8
S0205;;12;1;6;16;10.8
S0206;;1;4;20;18;-3.0
S0207;;3;1;16;16;-0.20000000000000018
S0208;;13;2;12;19;10.6
S0209;;1;4;19;19;-2.8000000000000003
S0210;;5;3;21;17;0.7999999999999998
S0211;;11;2;11;17;8.8
S0212;;14;2;11;18;11.8
S0213;;13;4;10;20;11.0
S0214;;5;2;15;16;2.0
S0215;;14;4;13;17;11.4
S0216;;5;1;18;17;1.4
S0217;;6;4;14;19;3.1999999999999997
S0218;;15;4;4;20;14.2
S0219;;13;1;11;20;10.8
S0220;;17;2;6;18;15.8
S0221;;14;1;11;17;11.8
S0222;;11;3;7;20;9.6
S0223;;2;3;23;16;-2.6000000000000005
S0224;;7;3;14;20;4.199999999999999
S0225;;5;1;20;20;1.0
S0226;;5;1;22;17;0.5999999999999996
S0227;;19;1;5;20;18.0
S0228;;8;2;14;20;5.199999999999999
S0229;;17;3;8;17;15.4
S0230;;13;4;11;20;10.8
S0231;;15;3;1;17;14.8
S0232;;10;2;13;17;7.4
S0233;;11;4;10;18;9.0
S0234;;10;3;14;18;7.199999999999999
S0235;;5;4;16;19;1.7999999999999998
S0236;;14;3;10;17;12.0
S0237;;5;2;17;18;1.5999999999999996
S0238;;1;1;15;17;-2.0
S0239;;13;3;8;16;11.4
S0240;;4;1;17;20;0.5999999999999996
S0241;;18;2;12;19;15.6
S0242;;19;3;7;17;17.6
S0243;;18;3;0;20;18.0
S0244;;8;3;15;20;5.0
S0245;;1;1;17;16;-2.4000000000000004
S0246;;18;2;3;17;17.4
S0247;;8;3;13;17;5.4
S0248;;19;4;8;19;17.4
S0249;;19;3;12;18;16.6
S0250;;17;4;6;20;15.8
S0251;;6;4;17;19;2.5999999999999996
S0252;;8;3;14;17;5.199999999999999
S0253;;17;1;11;18;14.8
S0254;;7;3;16;19;3.8
S0255;;3;3;17;20;-0.40000000000000036
S0256;;11;3;11;17;8.8
S0257;;19;2;9;17;17.2
S0258;;13;3;7;17;11.6
S0259;;11;2;13;18;8.4
S0260;;3;3;22;19;-1.4000000000000004
S0261;;12;1;11;16;9.8
S0262;;19;4;6;17;17.8
S0263;;2;1;17;19;-1.4000000000000004
S0264;;10;1;9;18;8.2
S0265;;17;2;8;19;15.4
S0266;;14;3;10;16;12.0
S0267;;14;2;13;17;11.4
S0268;;13;2;8;17;11.4
S0269;;7;3;14;20;4.199999999999999
S0270;;6;2;17;18;2.5999999999999996
S0271;;16;4;13;19;13.4
S0272;;15;4;5;17;14.0
S0273;;17;3;11;19;14.8
S0274;;18;2;8;20;16.4
S0275;;10;3;12;19;7.6
S0276;;10;1;16;18;6.8
S0277;;16;2;12;19;13.6
S0278;;13;2;16;19;9.8
S0279;;14;4;8;17;12.4
S0280;;15;1;10;16;13.0
S0281;;17;3;0;16;17.0
S0282;;7;3;17;17;3.5999999999999996
S0283;;8;2;17;16;4.6
S0284;;2;1;20;19;-2.0
S0285;;12;4;11;17;9.8
S0286;;1;3;20;20;-3.0
S0287;;9;3;12;19;6.6
S0288;;11;1;14;16;8.2
S0289;;6;2;19;16;2.1999999999999997
S0290;;12;2;16;19;8.8
S0291;;1;1;25;16;-4.0
S0292;;1;1;20;18;-3.0
S0293;;16;4;9;19;14.2
S0294;;8;1;16;19;4.8
S0295;;3;1;15;16;0.0
S0296;;10;3;9;17;8.2
S0297;;15;4;10;19;13.0
S0298;;5;1;21;20;0.7999999999999998
S0299;;13;3;12;20;10.6
S0300;;2;1;20;20;-2.0
S0301;;1;1;20;18;-3.0
S0302;;10;1;14;19;7.199999999999999
S0303;;11;4;14;20;8.2
S0304;;13;1;12;18;10.6
S0305;;14;1;11;16;11.8
S0306;;19;2;6;20;17.8
S0307;;11;4;11;20;8.8
S0308;;6;2;17;16;2.5999999999999996
S0309;;16;2;5;16;15.0
S0310;;6;1;18;20;2.4
S0311;;9;2;18;16;5.4
S0312;;2;3;17;20;-1.4000000000000004
S0313;;1;3;21;19;-3.2
S0314;;19;2;5;17;18.0
S0315;;17;2;14;19;14.2
S0316;;14;1;6;16;12.8
S0317;;8;2;12;17;5.6
S0318;;4;1;21;20;-0.20000000000000018
S0319;;4;4;21;16;-0.20000000000000018
S0320;;5;4;12;16;2.5999999999999996
S0321;;11;4;14;20;8.2
S0322;;14;4;12;19;11.6
S0323;;13;3;16;17;9.8
S0324;;6;3;17;20;2.5999999999999996
S0325;;18;2;7;20;16.6
S0326;;14;3;8;20;12.4
S0327;;11;2;15;18;8.0
S0328;;12;2;15;16;9.0
S0329;;9;4;13;19;6.4
S0330;;5;2;14;18;2.1999999999999997
S0331;;7;2;19;20;3.1999999999999997
S0332;;15;4;6;18;13.8
S0333;;1;1;19;17;-2.8000000000000003
S0334;;2;2;15;20;-1.0
S0335;;2;4;19;18;-1.8000000000000003
S0336;;1;3;25;19;-4.0
S0337;;17;3;8;16;15.4
S0338;;14;1;7;18;12.6
S0339;;10;2;15;20;7.0
S0340;;2;4;19;20;-1.8000000000000003
S0341;;10;3;13;20;7.4
S0342;;10;3;20;18;6.0
S0343;;4;1;13;19;1.4
S0344;;9;1;16;18;5.8
S0345;;8;4;13;19;5.4
S0346;;12;2;11;17;9.8
S0347;;12;3;8;19;10.4
S0348;;1;1;18;18;-2.6
S0349;;7;3;15;19;4.0
S0350;;12;4;13;19;9.4
S0351;;10;3;11;19;7.8
S0352;;17;1;12;16;14.6
S0353;;13;3;9;16;11.2
S0354;;3;4;20;18;-1.0
S0355;;2;2;15;18;-1.0
S0356;;12;4;10;20;10.0
S0357;;1;3;18;16;-2.6
S0358;;12;4;11;20;9.8
S0359;;18;3;11;19;15.8
S0360;;11;1;14;19;8.2
S0361;;8;2;12;16;5.6
S0362;;13;1;10;20;11.0
S0363;;9;4;10;17;7.0
S0364;;11;4;11;18;8.8
S0365;;19;3;9;20;17.2
S0366;;8;2;16;20;4.8
S0367;;19;1;6;17;17.8
S0368;;18;4;13;16;15.4
S0369;;4;2;13;20;1.4
S0370;;2;1;17;18;-1.4000000000000004
S0371;;2;3;15;20;-1.0
S0372;;1;1;23;18;-3.6000000000000005
S0373;;3;2;15;17;0.0
S0374;;14;2;5;20;13.0
S0375;;2;1;22;18;-2.4000000000000004
S0376;;6;4;13;18;3.4
S0377;;17;1;8;19;15.4
S0378;;1;1;23;19;-3.6000000000000005
S0379;;17;1;7;20;15.6
S0380;;6;4;14;19;3.1999999999999997
S0381;;2;2;19;19;-1.8000000000000003
S0382;;14;3;7;17;12.6
S0383;;12;1;15;19;9.0
S0384;;17;1;11;19;14.8
S0385;;14;2;9;19;12.2
S0386;;16;4;8;18;14.4
S0387;;6;4;17;16;2.5999999999999996
S0388;;4;1;15;19;1.0
S0389;;15;3;8;17;13.4
S0390;;16;4;6;17;14.8
S0391;;19;2;6;16;17.8
S0392;;8;4;12;19;5.6
S0393;;7;1;15;18;4.0
S0394;;16;4;4;18;15.2
S0395;;7;4;17;20;3.5999999999999996
S0396;;18;4;1;20;17.8
S0397;;16;3;8;18;14.4
S0398;;9;2;17;20;5.6
S0399;;15;4;6;16;13.8
S0400;;15;2;9;20;13.2
S0401;;2;2;16;20;-1.2000000000000002
S0402;;17;3;4;16;16.2
S0403;;10;4;12;18;7.6
S0404;;16;4;10;16;14.0
S0405;;6;1;13;16;3.4
S0406;;18;4;7;16;16.6
S0407;;8;3;12;19;5.6
S0408;;1;1;25;18;-4.0
S0409;;18;2;6;20;16.8
S0410;;2;2;20;20;-2.0
S0411;;7;2;11;18;4.8
S0412;;18;4;5;19;17.0
S0413;;18;3;6;20;16.8
S0414;;12;3;10;17;10.0
S0415;;13;4;13;16;10.4
S0416;;9;2;9;19;7.2
S0417;;6;4;10;20;4.0
S0418;;7;2;14;20;4.199999999999999
S0419;;14;4;6;18;12.8
S0420;;15;1;11;19;12.8
S0421;;16;4;11;17;13.8
S0422;;16;1;9;16;14.2
S0423;;2;2;17;18;-1.4000000000000004
S0424;;10;4;14;19;7.199999999999999
S0425;;2;2;17;20;-1.4000000000000004
S0426;;11;3;11;20;8.8
S0427;;9;2;16;18;5.8
S0428;;18;3;6;16;16.8
S0429;;7;1;13;19;4.4
S0430;;2;1;17;18;-1.4000000000000004
S0431;;3;2;15;20;0.0
S0432;;14;2;12;18;11.6
S0433;;12;1;10;20;10.0
S0434;;3;2;21;17;-1.2000000000000002
S0435;;2;2;21;16;-2.2
S0436;;14;1;11;17;11.8
S0437;;2;3;21;20;-2.2
S0438;;16;4;10;19;14.0
S0439;;13;1;10;16;11.0
S0440;;2;3;16;20;-1.2000000000000002
S0441;;2;3;19;20;-1.8000000000000003
S0442;;19;2;10;17;17.0
S0443;;7;3;12;18;4.6
S0444;;7;2;16;18;3.8
S0445;;16;3;8;19;14.4
S0446;;19;1;5;18;18.0
S0447;;19;3;5;20;18.0
S0448;;15;3;6;16;13.8
S0449;;7;1;13;17;4.4
S0450;;2;2;21;20;-2.2
S0451;;15;4;3;20;14.4
S0452;;11;2;11;18;8.8
S0453;;8;3;14;18;5.199999999999999
S0454;;18;4;5;18;17.0
S0455;;2;3;17;16;-1.4000000000000004
S0456;;10;3;12;18;7.6
S0457;;1;4;13;18;-1.6
S0458;;9;4;14;18;6.199999999999999
S0459;;1;2;20;17;-3.0
S0460;;2;2;18;18;-1.6
S0461;;3;2;15;16;0.0
S0462;;13;4;14;17;10.2
S0463;;14;3;14;16;11.2
S0464;;12;1;13;19;9.4
S0465;;19;4;10;19;17.0
S0466;;8;2;15;18;5.0
S0467;;6;1;14;17;3.1999999999999997
S0468;;17;3;10;16;15.0
S0469;;5;2;20;19;1.0
S0470;;19;4;6;17;17.8
S0471;;1;1;17;20;-2.4000000000000004
S0472;;18;4;10;16;16.0
S0473;;1;3;17;17;-2.4000000000000004
S0474;;18;1;5;19;17.0
S0475;;11;4;10;17;9.0
S0476;;19;3;3;17;18.4
S0477;;2;2;13;19;-0.6000000000000001
S0478;;11;2;13;16;8.4
S0479;;20;4;6;20;18.8
S0480;;11;2;13;20;8.4
S0481;;12;1;11;16;9.8
S0482;;13;1;6;19;11.8
S0483;;9;2;17;18;5.6
S0484;;12;4;13;20;9.4
S0485;;11;2;8;18;9.4
S0486;;17;1;5;17;16.0
S0487;;1;1;20;19;-3.0
S0488;;5;2;14;19;2.1999999999999997
S0489;;19;4;6;17;17.8
S0490;;18;2;4;20;17.2
S0491;;9;4;13;16;6.4
S0492;;13;2;8;17;11.4
S0493;;6;1;9;17;4.2
S0494;;4;4;15;17;1.0
S0495;;10;2;13;20;7.4
S0496;;7;3;13;18;4.4
S0497;;11;4;12;19;8.6
S0498;;2;1;12;16;-0.40000000000000036
S0499;;19;1;6;19;17.8
S0500;;19;3;7;17;17.6
S0501;;14;2;12;16;11.6
S0502;;11;1;9;17;9.2
S0503;;6;1;13;16;3.4
S0504;;16;1;10;20;14.0
S0505;;13;4;9;20;11.2
S0506;;3;1;21;16;-1.2000000000000002
S0507;;18;2;7;20;16.6
S0508;;16;3;7;18;14.6
S0509;;19;2;2;18;18.6
S0510;;14;1;11;16;11.8
S0511;;12;4;14;18;9.2
S0512;;8;1;16;16;4.8
S0513;;18;4;10;17;16.0
S0514;;17;4;4;18;16.2
S0515;;1;2;15;17;-2.0
S0516;;1;3;18;19;-2.6
S0517;;8;2;11;18;5.8
S0518;;16;2;8;19;14.4
S0519;;19;4;6;18;17.8
S0520;;4;4;18;18;0.3999999999999999
S0521;;11;2;12;19;8.6
S0522;;8;3;18;18;4.4
S0523;;19;4;6;16;17.8
S0524;;17;4;8;19;15.4
S0525;;16;3;6;19;14.8
S0526;;9;2;13;20;6.4
S0527;;8;2;14;18;5.199999999999999
S0528;;6;4;18;20;2.4
S0529;;2;1;19;19;-1.8000000000000003
S0530;;17;3;6;19;15.8
S0531;;16;2;11;17;13.8
S0532;;19;2;6;18;17.8
S0533;;19;2;5;17;18.0
S0534;;11;4;14;17;8.2
S0535;;15;1;10;20;13.0
S0536;;18;3;6;20;16.8
S0537;;16;1;11;19;13.8
S0538;;5;1;15;20;2.0
S0539;;9;2;16;16;5.8
S0540;;3;3;15;18;0.0
S0541;;19;2;1;18;18.8
S0542;;12;2;13;19;9.4
S0543;;5;1;15;20;2.0
S0544;;14;2;12;17;11.6
S0545;;11;4;8;20;9.4
S0546;;7;4;18;20;3.4
S0547;;3;2;17;18;-0.40000000000000036
S0548;;13;3;12;17;10.6
S0549;;10;4;13;16;7.4
S0550;;15;1;11;17;12.8
S0551;;10;4;10;19;8.0
S0552;;17;4;10;18;15.0
S0553;;11;1;11;16;8.8
S0554;;11;1;13;17;8.4
S0555;;17;4;8;17;15.4
S0556;;8;3;14;19;5.199999999999999
S0557;;3;1;20;20;-1.0
S0558;;1;2;19;16;-2.8000000000000003
S0559;;15;2;5;16;14.0
S0560;;12;3;13;18;9.4
S0561;;14;3;7;20;12.6
S0562;;5;4;13;19;2.4
S0563;;3;2;20;18;-1.0
S0564;;1;3;23;19;-3.6000000000000005
S0565;;7;3;14;20;4.199999999999999
S0566;;12;2;13;16;9.4
S0567;;7;1;9;18;5.2
S0568;;8;4;13;16;5.4
S0569;;17;4;9;18;15.2
S0570;;7;2;18;17;3.4
S0571;;10;3;10;18;8.0
S0572;;16;1;10;16;14.0
S0573;;8;3;14;20;5.199999999999999
S0574;;12;3;9;18;10.2
S0575;;17;3;9;17;15.2
S0576;;18;4;7;17;16.6
S0577;;3;3;18;16;-0.6000000000000001
S0578;;18;2;5;19;17.0
S0579;;9;4;11;20;6.8
S0580;;6;1;16;18;2.8
S0581;;9;2;13;17;6.4
S0582;;19;2;7;18;17.6
S0583;;10;2;16;18;6.8
S0584;;7;4;14;19;4.199999999999999
S0585;;13;2;6;16;11.8
S0586;;5;4;18;19;1.4
S0587;;2;3;20;17;-2.0
S0588;;3;2;20;16;-1.0
S0589;;3;4;16;18;-0.20000000000000018
S0590;;3;1;16;16;-0.20000000000000018
S0591;;3;1;18;18;-0.6000000000000001
S0592;;13;3;13;20;10.4
S0593;;4;2;17;19;0.5999999999999996
S0594;;7;1;19;17;3.1999999999999997
S0595;;18;3;7;16;16.6
S0596;;9;3;11;16;6.8
S0597;;13;2;13;17;10.4
S0598;;3;4;21;18;-1.2000000000000002
S0599;;4;3;13;20;1.4
S0600;;1;4;20;18;-3.0
S0601;;4;1;14;19;1.1999999999999997
S0602;;5;3;16;19;1.7999999999999998
S0603;;4;4;17;16;0.5999999999999996
S0604;;3;3;17;17;-0.40000000000000036
S0605;;3;3;20;20;-1.0
S0606;;10;2;13;18;7.4
S0607;;4;1;18;20;0.3999999999999999
S0608;;7;2;18;16;3.4
S0609;;9;2;12;19;6.6
S0610;;14;4;11;18;11.8
S0611;;1;1;19;17;-2.8000000000000003
S0612;;16;4;12;17;13.6
S0613;;12;4;7;19;10.6
S0614;;2;1;16;16;-1.2000000000000002
S0615;;18;2;5;16;17.0
S0616;;18;4;8;19;16.4
S0617;;2;4;23;17;-2.6000000000000005
S0618;;6;2;11;17;3.8
S0619;;16;2;9;16;14.2
S0620;;15;3;11;17;12.8
S0621;;4;3;16;16;0.7999999999999998
S0622;;5;2;14;16;2.1999999999999997
S0623;;8;3;14;17;5.199999999999999
S0624;;10;1;10;18;8.0
S0625;;13;1;8;19;11.4
S0626;;7;2;17;17;3.5999999999999996
S0627;;9;2;15;19;6.0
S0628;;15;2;7;17;13.6
S0629;;1;2;26;16;-4.2
S0630;;6;2;16;18;2.8
S0631;;14;1;13;18;11.4
S0632;;18;2;8;18;16.4
S0633;;10;4;13;16;7.4
S0634;;10;2;13;18;7.4
S0635;;2;2;19;16;-1.8000000000000003
S0636;;8;3;16;19;4.8
S0637;;11;4;6;19;9.8
S0638;;5;1;11;20;2.8
S0639;;5;3;19;18;1.1999999999999997
S0640;;7;3;10;16;5.0
S0641;;1;3;20;18;-3.0
S0642;;7;1;15;17;4.0
S0643;;4;3;17;18;0.5999999999999996
S0644;;6;1;17;18;2.5999999999999996
S0645;;3;3;15;18;0.0
S0646;;17;3;7;18;15.6
S0647;;11;1;13;19;8.4
S0648;;13;4;13;16;10.4
S0649;;15;1;11;18;12.8
S0650;;10;4;17;16;6.6
S0651;;3;2;18;17;-0.6000000000000001
S0652;;11;1;15;17;8.0
S0653;;12;1;12;19;9.6
S0654;;14;4;6;19;12.8
S0655;;9;1;11;19;6.8
S0656;;3;1;18;17;-0.6000000000000001
S0657;;6;2;16;16;2.8
S0658;;7;3;10;16;5.0
S0659;;13;3;9;16;11.2
S0660;;11;1;12;17;8.6
S0661;;7;2;18;18;3.4
S0662;;19;1;5;19;18.0
S0663;;12;1;9;18;10.2
S0664;;5;2;18;16;1.4
S0665;;2;3;17;18;-1.4000000000000004
S0666;;3;1;18;19;-0.6000000000000001
S0667;;5;2;17;18;1.5999999999999996
S0668;;4;2;24;16;-0.8000000000000007
S0669;;3;4;17;19;-0.40000000000000036
S0670;;6;4;13;19;3.4
S0671;;4;4;19;18;0.19999999999999973
S0672;;17;1;7;16;15.6
S0673;;2;1;20;20;-2.0
S0674;;10;2;11;17;7.8
S0675;;8;2;14;18;5.199999999999999
S0676;;19;3;8;17;17.4
S0677;;2;4;15;16;-1.0
S0678;;9;4;12;19;6.6
S0679;;19;4;8;18;17.4
S0680;;17;2;6;18;15.8
S0681;;16;3;7;18;14.6
S0682;;5;2;14;17;2.1999999999999997
S0683;;4;1;21;20;-0.20000000000000018
S0684;;13;3;8;19;11.4
S0685;;18;1;8;17;16.4
S0686;;11;2;13;19;8.4
S0687;;11;2;5;20;10.0
S0688;;6;3;15;18;3.0
S0689;;15;4;10;17;13.0
S0690;;4;2;22;18;-0.40000000000000036
S0691;;6;4;12;16;3.5999999999999996
S0692;;9;2;17;16;5.6
S0693;;10;2;15;16;7.0
S0694;;5;3;17;16;1.5999999999999996
S0695;;3;3;14;16;0.19999999999999973
S0696;;12;4;9;20;10.2
S0697;;6;1;16;18;2.8
S0698;;11;3;11;18;8.8
S0699;;4;3;19;16;0.19999999999999973
S0700;;10;4;13;18;7.4
S0701;;10;1;12;18;7.6
S0702;;2;4;16;19;-1.2000000000000002
S0703;;7;3;12;17;4.6
S0704;;3;2;16;19;-0.20000000000000018
S0705;;1;2;20;20;-3.0
S0706;;20;2;4;20;19.2
S0707;;6;3;15;20;3.0
S0708;;16;4;11;18;13.8
S0709;;5;3;17;17;1.5999999999999996
S0710;;14;3;10;19;12.0
S0711;;15;3;7;18;13.6
S0712;;12;1;12;19;9.6
S0713;;9;1;16;16;5.8
S0714;;8;2;14;17;5.199999999999999
S0715;;7;2;14;17;4.199999999999999
S0716;;18;1;6;19;16.8
S0717;;16;3;6;18;14.8
S0718;;19;2;4;18;18.2
S0719;;3;2;19;18;-0.8000000000000003
S0720;;14;2;11;19;11.8
S0721;;18;1;9;18;16.2
S0722;;3;4;15;20;0.0
S0723;;1;4;15;18;-2.0
S0724;;15;3;10;16;13.0
S0725;;11;1;12;16;8.6
S0726;;16;4;4;19;15.2
S0727;;3;4;16;18;-0.20000000000000018
S0728;;16;4;7;16;14.6
S0729;;4;1;20;19;0.0
S0730;;3;3;16;17;-0.20000000000000018
S0731;;4;4;20;16;0.0
S0732;;16;3;11;18;13.8
S0733;;13;3;11;18;10.8
S0734;;10;2;14;18;7.199999999999999
S0735;;8;3;15;17;5.0
S0736;;17;1;11;19;14.8
S0737;;8;3;12;19;5.6
S0738;;16;1;5;18;15.0
S0739;;9;2;18;20;5.4
S0740;;8;2;12;18;5.6
S0741;;9;3;15;20;6.0
S0742;;6;1;13;17;3.4
S0743;;15;3;9;19;13.2
S0744;;10;4;13;17;7.4
S0745;;5;1;17;18;1.5999999999999996
S0746;;17;1;4;18;16.2
S0747;;8;1;17;18;4.6
S0748;;11;4;11;17;8.8
S0749;;18;3;4;18;17.2
S0750;;12;2;9;19;10.2
S0751;;2;1;12;20;-0.40000000000000036
S0752;;18;3;8;19;16.4
S0753;;12;4;8;18;10.4
S0754;;7;4;15;19;4.0
S0755;;3;3;15;18;0.0
S0756;;16;1;9;16;14.2
S0757;;12;1;12;17;9.6
S0758;;11;1;9;20;9.2
S0759;;17;2;8;16;15.4
S0760;;16;1;12;18;13.6
S0761;;3;2;19;18;-0.8000000000000003
S0762;;6;2;14;18;3.1999999999999997
S0763;;6;4;13;18;3.4
