id etudiant;school;sex;age;address;absences;heures-etudie;notes de smestre1;failures;reussite
F192354410;GL;M;15;U;1;4;10;0;no
F192354411;GL;F;15;R;2;4;10;1;yes
F192354412;GL;M;16;R;2;1;10;0;yes
F192354413;GL;F;16;U;1;2;10;0;no
F192354414;GL;F;16;U;1;1;10;0;no
F192354415;GL;F;16;U;1;3;10;0;yes
F192354416;GL;M;16;U;1;1;10;0;yes
F192354417;GL;M;16;U;1;3;10;0;no
Y192354418;GL;M;15;U;1;1;10;0;no
F192354419;GL;F;15;U;2;2;10;0;yes
F192354420;GL;M;15;U;1;2;10;0;no
F192354421;GL;F;15;U;1;4;10;0;yes
F192354422;GL;F;15;U;1;4;10;0;yes
T192354423;GL;M;16;U;1;3;10;0;no
F192354424;GL;M;15;R;4;4;10;0;no
F192354425;GL;F;16;U;1;3;10;0;no
F192354426;GL;M;15;U;1;1;10;0;no
F192354427;GL;F;16;R;1;3;10;1;yes
F192354428;GL;F;16;U;1;2;10;1;yes
F192354429;GL;M;15;U;1;1;10;0;no
F192354430;GL;M;15;R;1;2;10;0;no
F192354431;GL;M;16;U;1;2;10;0;no
F192354432;GL;M;15;U;2;2;10;0;no
F192354433;GL;M;16;U;2;1;10;0;no
F192354434;GL;M;17;R;3;2;10;1;no
F192354435;GL;M;15;U;1;1;10;0;no
F192354436;GL;F;15;U;1;2;10;0;no
F192354437;GL;M;15;U;1;4;10;0;no
F192354438;GL;F;16;U;2;2;10;0;no
F192354439;GL;M;16;U;1;1;10;0;no
F192354440;GL;F;16;U;1;2;10;0;no
F192354441;GL;M;15;U;1;1;10;0;yes
F192354442;GL;F;15;U;1;2;10;0;yes
F192354443;GL;F;19;U;1;2;10;3;no
F192354444;GL;M;18;R;1;1;10;2;no
F192354445;GL;M;16;R;1;1;10;0;no
F192354446;GL;F;15;R;2;3;10;2;no
F192354447;GL;F;15;U;3;1;10;0;no
F192354448;GL;F;17;U;1;1;10;0;no
F192354449;GL;F;16;U;1;1;10;0;no
F192354450;GL;M;15;R;4;2;10;0;no
F192354451;GL;F;15;U;1;3;10;0;no
F192354452;GL;M;17;R;3;2;10;0;no
F192354453;GL;F;16;U;2;1;10;2;no
F192354454;GL;M;16;U;1;2;10;1;no
F192354455;GL;F;15;U;2;1;10;0;no
F192354456;GL;M;15;U;2;4;10;0;yes
F192354457;GL;M;16;U;2;1;10;2;no
F192354458;GL;F;15;U;1;3;10;0;no
F192354459;GL;F;16;U;1;1;10;0;no
F192354460;GL;M;17;U;1;1;10;3;no
F192354461;GL;F;15;U;1;2;10;0;no
F192354462;GL;F;15;U;1;2;10;3;no
F192354463;GL;F;15;U;1;2;10;0;no
F192354464;GL;M;16;U;1;1;10;0;no
F192354465;GL;M;15;U;4;1;10;3;no
F192354466;GL;M;18;U;1;1;10;3;no
F192354467;GL;M;16;U;1;1;10;1;no
A192354468;GL;F;15;R;2;3;10;2;no
F192354469;GL;M;19;U;1;1;10;3;no
F192354470;GL;F;17;U;1;1;10;0;yes
F192354471;GL;M;15;R;1;2;10;0;yes
F192354472;GL;M;17;R;1;1;10;0;no
F192354473;GL;F;18;R;3;1;10;3;no
Z1192354474;GL;M;16;R;3;1;10;0;no
F192354475;GL;M;16;U;1;2;10;1;no
F192354476;GL;M;17;R;2;1;10;2;no
F192354477;GL;M;15;R;2;2;10;2;yes
F192354478;GL;M;16;U;2;1;10;1;no
F192354479;GL;M;17;U;1;1;10;0;no
F192354480;GL;M;17;R;4;2;10;3;no
F192354481;GL;M;16;U;2;1;10;1;no
F192354482;GL;M;16;U;1;2;10;0;no
F192354483;GL;F;16;U;1;2;10;0;no
F192354484;GL;F;16;U;1;2;10;0;no
F192354485;GL;F;16;U;1;2;10;0;no
F192354486;GL;M;16;U;3;1;10;2;no
F192354487;GL;M;16;U;2;2;10;0;no
F192354488;GL;M;17;U;1;2;10;0;no
F192354489;GL;F;16;U;1;2;10;3;no
F192354490;GL;F;16;U;2;2;10;0;no
Q192354491;GL;M;17;U;2;2;10;0;no
F192354492;GL;F;16;U;2;2;10;0;no
F192354493;GL;M;17;U;1;2;10;0;no
F192354494;GL;M;16;R;1;1;10;0;no
F192354495;GL;M;17;U;1;2;10;0;no
F192354496;GL;M;16;U;1;2;10;0;no
F192354497;GL;M;16;U;1;2;10;0;no
F192354498;GL;F;17;U;1;2;10;0;no
F192354499;GL;F;17;U;1;2;10;0;no
F192354500;GL;F;16;U;1;2;10;0;no
F192354501;GL;M;17;U;1;2;10;0;no
F192354502;GL;M;16;U;1;1;10;0;no
F192354503;GL;M;16;U;1;2;10;0;no
F192354504;GL;F;17;U;1;2;10;0;no
F192354505;GL;M;17;R;1;2;10;0;no
F192354506;GL;F;16;U;1;2;10;0;no
F192354507;GL;F;17;U;1;2;10;0;no
F192354508;GL;M;17;U;2;2;10;0;no
F192354509;GL;M;16;R;1;1;10;0;no
F192354510;GL;M;16;U;2;1;10;0;no
F192354511;GL;F;17;U;1;2;10;0;no
F192354512;GL;M;17;U;1;1;10;0;no
F192354513;GL;M;16;R;3;1;10;0;no
F192354514;GL;F;17;U;2;1;10;1;no
F192354515;GL;F;16;U;1;2;10;0;no
F192354516;GL;F;16;U;1;2;10;0;no
F192354517;GL;F;16;U;1;2;10;0;yes
F192354518;GL;F;17;U;1;2;10;0;no
F192354519;GL;F;17;R;1;1;10;0;no
F192354520;GL;F;16;R;2;4;10;0;no
F192354521;GL;F;17;U;1;3;10;1;no
F192354522;GL;F;16;U;1;2;10;3;no
F192354523;GL;F;16;U;1;2;10;0;no
F192354524;GL;F;16;U;2;1;10;0;no
F192354525;GL;F;17;R;2;3;10;0;no
F192354526;GL;F;19;U;1;4;10;0;no
F192354527;GL;M;17;U;1;2;10;0;no
F192354528;GL;F;16;U;1;2;10;0;yes
F192354529;GL;M;18;U;1;2;10;1;no
F192354530;GL;F;17;R;1;1;10;0;no
F192354531;GL;F;17;U;2;2;10;0;no
F192354532;GL;F;17;U;1;2;10;2;no
F192354533;GL;M;18;U;1;2;10;1;no
F192354534;GL;F;17;U;2;1;10;0;no
F192354535;GL;F;17;U;1;3;10;0;no
F192354536;GL;F;17;R;2;2;10;0;no
F192354537;GL;F;17;U;1;3;10;1;no
F192354538;GL;F;16;U;1;2;10;0;yes
F192354539;GL;M;18;U;2;2;10;0;no
F192354540;GL;F;16;U;1;3;10;0;no
F192354541;GL;F;18;R;1;2;10;1;no
F192354542;GL;F;17;U;1;2;10;0;no
F192354543;GL;M;17;U;1;2;10;0;no
F192354544;GL;M;18;U;4;2;10;0;yes
F192354545;GL;F;17;U;2;3;10;0;no
F192354546;GL;F;17;U;1;2;10;0;no
F192354547;GL;M;17;R;2;2;10;0;no
F192354548;GL;M;17;U;1;2;10;0;yes
F192354549;GL;M;16;U;1;2;10;0;no
F192354550;GL;M;16;U;2;2;10;0;no
F192354551;GL;M;16;U;2;3;10;0;no
F192354552;GL;M;17;U;1;2;10;0;no
F192354553;GL;F;16;U;1;1;10;0;no
F192354554;GL;F;17;R;3;2;10;0;no
F192354555;GL;M;18;U;1;2;10;1;no
F192354556;GL;M;17;U;2;2;10;0;no
F192354557;GL;M;17;R;2;2;10;0;no
F192354558;GL;M;16;U;1;1;10;0;no
F192354559;GL;M;16;U;1;1;10;0;no
F192354560;GL;F;18;U;2;3;10;0;no
F192354561;GL;M;16;U;3;1;10;0;no
F192354562;GL;M;17;U;2;1;10;0;no
F192354563;GL;M;22;U;1;1;10;3;no
F192354564;GL;M;18;R;1;2;10;1;no
F192354565;GL;M;16;U;1;1;10;0;no
F192354566;GL;M;18;U;2;1;10;1;no
F192354567;GL;M;16;U;3;2;10;0;yes
F192354568;GL;M;18;U;1;1;10;1;no
F192354569;GL;M;16;R;2;1;10;0;no
F192354570;GL;M;17;R;1;1;10;0;no
F192354571;GL;M;17;U;2;1;10;1;no
F192354572;GL;F;17;U;1;4;10;0;no
F192354573;GL;M;19;U;1;2;10;0;no
F192354574;GL;M;18;U;1;2;10;0;no
F192354575;GL;F;17;U;1;4;10;0;no
F192354576;GL;F;18;U;1;2;10;0;no
F192354577;GL;M;18;U;1;2;10;0;no
F192354578;GL;M;18;R;1;3;10;0;no
F192354579;GL;F;17;U;1;3;10;0;no
F192354580;GL;F;18;U;1;3;10;0;no
F192354581;GL;M;18;R;2;2;10;0;no
F192354582;GL;M;17;U;1;2;10;0;no
F192354583;GL;F;18;R;2;2;10;0;no
F192354584;GL;M;18;U;1;2;10;0;no
F192354585;GL;F;18;R;2;2;10;0;no
F192354586;GL;F;19;U;1;2;10;2;no
F192354587;GL;F;18;U;1;4;10;0;no
F192354588;GL;F;18;U;2;2;10;0;no
F192354589;GL;M;17;R;1;2;10;0;no
F192354590;GL;F;17;U;2;2;10;0;no
F192354591;GL;F;17;U;2;2;10;0;yes
F192354592;GL;F;18;R;2;2;10;0;no
F192354593;GL;M;18;U;2;1;10;0;no
F192354594;GL;F;18;U;1;2;10;1;yes
F192354595;GL;M;18;U;2;1;10;0;no
F192354596;GL;M;17;U;2;1;10;0;no
F192354597;GL;M;17;U;1;1;10;1;no
F192354598;GL;F;18;R;2;4;10;0;no
F192354599;GL;F;18;U;2;2;11;0;yes
F192354600;GL;F;17;U;1;2;11;0;no
F192354601;GL;M;17;U;1;2;11;0;no
F192354602;GL;F;18;U;1;3;11;0;no
F192354603;GL;F;17;U;1;3;11;0;no
F192354604;GL;M;18;U;1;3;11;0;no
F192354605;GL;M;18;U;1;2;11;0;no
F192354606;GL;M;18;U;1;2;11;0;no
F192354607;GL;F;17;U;1;3;11;0;no
F192354608;GL;F;18;U;1;2;11;1;no
D192354609;GL;F;17;R;2;4;11;0;no
F192354610;GL;M;18;R;2;3;11;0;no
F192354611;GL;M;17;U;1;1;11;0;no
F192354612;GL;F;19;U;2;2;11;0;no
D192354613;GL;F;18;U;2;2;12;0;no
F192354614;GL;F;18;U;1;4;12;0;no
F192354615;GL;M;18;U;1;1;12;0;no
F192354616;GL;F;18;U;1;2;12;0;no
F192354617;GL;M;17;U;2;1;12;0;no
F192354618;GL;F;17;U;2;3;12;0;no
F192354619;GL;F;17;U;1;4;12;0;no
F192354620;GL;M;19;U;1;2;12;1;no
F192354621;GL;F;18;U;1;2;12;1;no
F192354622;GL;M;20;U;1;1;12;0;no
F192354623;GL;M;19;U;2;1;13;1;no
F192354624;GL;M;19;R;1;2;13;1;no
F192354625;GL;F;19;U;1;2;13;1;yes
F192354626;GL;F;19;U;1;2;13;1;no
F192354627;GL;F;19;U;3;2;13;0;no
F192354628;GL;M;19;U;1;2;13;1;no
F192354629;GL;F;19;U;2;2;13;1;no
F192354630;GL;F;19;U;1;3;13;2;no
F192354631;GL;F;19;R;1;3;13;1;no
F192354632;GL;F;18;U;2;2;13;0;no
F192354633;GL;F;18;U;1;3;13;0;no
F192354634;GL;F;17;R;1;3;13;0;no
F192354635;GL;F;18;U;1;2;13;0;no
F192354636;GL;F;17;U;1;2;13;0;no
F192354637;GL;F;17;U;1;2;13;0;no
F192354638;GL;F;17;R;1;3;13;0;no
F192354639;GL;F;17;U;1;3;13;0;no
F192354640;GL;F;17;U;2;3;13;0;no
F192354641;GL;M;18;U;1;3;13;0;no
F192354642;GL;M;17;U;1;1;14;0;no
F192354643;GL;M;17;R;4;1;14;0;no
F192354644;GL;F;17;U;1;3;14;0;no
F192354645;GL;F;17;U;2;3;14;0;no
F192354646;GL;M;18;U;1;4;14;0;no
F192354647;GL;F;17;R;1;3;14;0;no
F192354648;GL;F;18;U;1;2;14;0;no
F192354649;GL;F;18;U;1;2;14;0;no
F192354650;GL;F;18;R;2;4;14;0;no
F192354651;GL;F;17;U;1;3;14;0;no
F192354652;GL;F;19;R;1;3;14;1;no
F192354653;GL;F;17;U;1;2;14;0;no
F192354654;GL;F;18;U;1;4;14;0;no
F192354655;GL;F;17;R;1;2;14;0;no
F192354656;GL;F;19;U;1;3;14;1;no
F192354657;GL;M;18;U;1;2;14;1;no
F192354658;GL;M;18;U;1;2;14;0;no
F192354659;GL;F;17;U;1;2;14;1;no
F192354660;GL;F;18;U;1;3;14;0;no
F192354661;GL;F;18;U;1;3;14;0;no
F192354662;GL;M;18;R;1;3;14;0;no
F192354663;GL;M;18;U;1;3;14;0;no
F192354664;GL;F;17;U;1;3;14;0;no
F192354665;GL;M;18;R;2;1;14;1;no
F192354666;GL;M;19;R;3;2;14;3;no
F192354667;GL;M;17;U;2;2;14;0;no
F192354668;GL;M;18;U;1;1;14;1;no
F192354669;GL;M;19;R;3;1;14;1;no
F192354670;GL;M;17;R;2;2;14;0;no
F192354671;GL;F;18;U;1;2;14;0;no
F192354672;GL;F;17;R;2;2;14;0;no
F192354673;GL;F;17;U;2;2;14;0;no
F192354674;GL;M;18;U;2;1;14;0;no
F192354675;GL;F;18;U;2;3;14;0;no
F192354676;GL;F;18;R;3;2;14;0;no
F192354677;GL;M;18;R;2;2;14;1;no
F192354678;GL;F;18;U;2;2;14;0;no
F192354679;GL;F;17;U;1;2;14;0;no
F192354680;GL;F;17;R;2;2;14;0;no
F192354681;GL;M;18;R;2;2;14;0;no
F192354682;GL;M;18;U;2;3;14;0;no
F192354683;GL;F;17;R;3;1;14;1;no
F192354684;GL;F;18;U;2;1;14;0;no
F192354685;GL;F;18;R;3;2;14;0;no
F192354686;GL;F;19;U;2;2;14;2;no
F192354687;GL;M;18;R;3;1;14;0;no
F192354688;GL;F;17;U;1;3;14;0;no
F192354689;GL;F;17;R;1;1;14;0;no
F192354690;GL;F;18;R;2;3;14;0;no
F192354691;GL;F;18;R;4;3;14;0;no
F192354692;GL;F;20;U;2;3;14;2;no
F192354693;GL;F;18;R;1;2;14;0;no
F192354694;GL;F;18;U;1;2;14;0;no
F192354695;GL;F;17;R;1;2;14;0;no
F192354696;GL;M;18;U;1;2;14;0;no
F192354697;GL;M;18;R;2;1;14;0;no
F192354698;GL;M;17;U;2;2;14;0;no
F192354699;GL;M;19;R;2;1;14;1;no
F192354700;GL;M;18;R;2;1;14;1;no
R192354701;GL;F;18;R;2;3;14;0;no
S192354702;GL;F;18;R;3;1;14;0;no
F192354703;GL;F;19;R;1;3;15;1;no
F192354704;GL;F;18;U;1;2;11;0;no
R192354705;GL;F;18;U;2;2;13;1;no
S192354706;GL;M;20;U;1;2;2;2;no
F192354707;GL;M;17;U;2;1;4;0;no
F192354708;GL;M;21;R;1;1;5;3;no
R192354709;GL;M;18;R;3;1;3;0;no
F192354710;GL;M;19;U;1;1;2;0;no
